Published?,Problem or Solution,BUILDING BLOCK or COGNITIVE BIAS,Environmental Tag,World Region,Title,Author,News Source,Date,URL
Published,Problem,Awareness ,None,Canada and the US,Critical Thinking: First Remove Bias,appmothers,Appmothers,2/26/15,https://appmothers.wordpress.com/2015/02/26/critical-thinking-first-remove-bias/
Published,Solution,Associations,Climate - Belief,Canada and the US,Is the Environment a Moral Cause?,Robb Willer,The New York Times,2/27/15,http://www.nytimes.com/2015/03/01/opinion/sunday/is-the-environment-a-moral-cause.html
Published,Solution,Associations,Climate - Belief,Canada and the US,Most people are neither 'alarmist' nor 'in denial' about climate change,Adam Corner,The Guardian,2/27/15,http://www.theguardian.com/sustainable-business/2015/feb/27/most-people-are-neither-alarmist-nor-in-denial-about-climate-change
Published,Solution,Lasting,Consumption - Energy,Canada and the US,We could keep a huge amount of carbon out of the atmosphere by changing people's behavior,Chris Mooney,The Washington Post,2/27/15,http://www.washingtonpost.com/news/energy-environment/wp/2015/02/27/we-could-be-reaping-much-bigger-carbon-cuts-by-changing-peoples-behavior/?postshare=7231425060735465
Published,Solution,Ordinary,None,Europe,The Perils of Adolescence,Wray Herbert,psychologicalscience.org,2/27/15,http://www.psychologicalscience.org/index.php/news/were-only-human/the-perils-of-adolescence.html
Published,Solution,"Easy, Hopeful",Consumption - Energy,Canada and the US,People Power Pilot Yields Up to 10 Percent Energy Savings By Changing Behavior,Lisa Cohn,Energy Efficiency Markets.com,2/28/15,http://energyefficiencymarkets.com/people-power-pilot-yields-10-energy-savings-changing-behavior/
Published,Solution,Ordinary,Climate - Belief,Canada and the US,Scientific Consensus on Climate Change as a Gateway Belief,None listed,Yale Project on Climate Change Communication,3/3/15,http://environment.yale.edu/climate-communication/article/scientific-consensus-on-climate-change-as-a-gateway-belief/
Published,Problem,Cognitive Bias - Confirmation Bias,None,Canada and the US,"Why People ""Fly From Facts""",Troy Campbell and Justin Friesen,Scientific American,3/3/15,http://www.scientificamerican.com/article/why-people-fly-from-facts/
Published,Solution,Easy,Consumption - Freshwater,Canada and the US,Your shower is wasting huge amounts of energy and water. Here's what you can do about it,Chris Mooney,The Washington Post,3/4/15,http://www.washingtonpost.com/news/energy-environment/wp/2015/03/04/your-shower-is-wasting-huge-amounts-of-energy-and-water-heres-what-to-do-about-it/?postshare=9701427114030794
Published,Solution,Relatable,Climate - Communication,"Canada and the US, Europe",Personal climate stories,Adam,Talking Climate,3/5/15,http://talkingclimate.org/personal-climate-stories/
Published,Problem,Associations,Climate - Belief,Canada and the US,How to Win Friends and Bamboozle People About Climate Change,David Biello,Scientific American,3/6/15,http://www.scientificamerican.com/article/how-to-win-friends-and-bamboozle-people-about-climate-change/
Published,Solution,"Easy, Vivid",Consumption - Paper use,Europe,"""No ads, please"" - A green nudge for reducing paper waste",Georg Liebig and Jens Rommel,iNudgeyou,3/9/15,http://inudgeyou.com/nudge-for-reducing-junk-ads/
Published,Solution,Ordinary ,Land Use - Development,Canada and the US,Americans are judging their neighbors' lawns - with surprising environmental consequences,Chris Mooney,The Washington Post,3/11/15,http://www.washingtonpost.com/news/energy-environment/wp/2015/03/11/forget-what-your-neighbors-think-stop-dousing-your-lawn-with-so-much-fertilizer/?postshare=5611426249758304
Published,Problem,"Cognitive Bias - Confirmation Bias, Cognitive Bias - Identifiable Victim Effect",Climate - Belief,Canada and the US,The Media's Role in Climate Change Action,Reade Levinson,The Stanford Daily,3/11/15,http://www.stanforddaily.com/2015/03/11/the-medias-role-in-climate-change-action/
Published,Solution,"Associations, Relatable",Climate - General,Canada and the US,Increasing Moral Engagement on Climate Change,Cindy Frei,ecoAffect,3/11/15,http://ecoaffect.org/2015/03/11/increasing-moral-engagement-on-climate-change/
Published,Solution,"Easy, Ordinary",None,Canada and the US,7 Principles for Changing Behavior from Daniel Pink,Debbie Miller,Search Engine Journal,3/14/15,http://www.searchenginejournal.com/7-principles-changing-behavior-danielpink-sxswi-2015-recap/128239/
Published,Solution,Awareness,Climate - General,Canada and the US,3  Insights Into Writing about Social Issues,Lisa Bennett,WordPress,3/16/15,http://lisabennett.org/2015/03/16/3-insights-into-writing-about-social-issues/
Published,Solution,"Associations, Relatable",Climate - Communication,Europe,Engaging the public on drought risks: stories about security,Adam Corner,Climate Outreach & Information Network,3/18/15,http://www.climateoutreach.org.uk/engaging-the-public-on-drought-risks-stories-about-security/
Published,Solution,"Benefits, Relatable",Consumption - Freshwater,Canada and the US,Responding to drought: Options for demand-side management,Maven,Maven's Notebook,3/18/15,http://mavensnotebook.com/2015/03/18/responding-to-drought-options-for-demand-side-management-or-which-water-conservation-programs-actually-work/
Published,Solution,"Awareness, Relatable",Climate - Belief,Europe,The surprising psychology behind why some people become environmentalists,Chris Mooney,The Washington Post,3/19/15,http://www.washingtonpost.com/news/energy-environment/wp/2015/03/19/the-surprising-reason-why-some-people-become-environmentalists-and-others-dont/
Published,Problem,Cognitive Bias - Moral licensing,Climate - Take Action,"Canada and the US, Europe",The bizarre way that we justify actions that waste energy and are bad for the environment,Chris Mooney,The Washington Post,3/20/15,http://www.washingtonpost.com/news/energy-environment/wp/2015/03/20/the-bizarre-way-that-we-justify-actions-that-waste-energy-and-are-bad-for-the-environment/?postshare=1531426944649616
Published,Solution,"Associations, Benefits, Hopeful, Relatable",Climate - Communication,Canada and the US,7 Ways to Talk About Climate Impacts with Just About Anyone,Cara Pike,ClimateAccess,3/23/15,http://www.climateaccess.org/blog/7-ways-talk-about-climate-impacts-just-about-anyone-yes-even-republicans
Published,Problem,Associations ,Natural Disasters,Canada and the US,Comment: Our Flawed perceptions of risk,Katherine Fox-Glasssman,Earth Magazine,3/23/15,http://www.earthmagazine.org/article/comment-our-flawed-perceptions-risk
Published,Problem,Cognitive Bias - Moral licensing,Climate - Take Action,Canada and the US,Why One Climate-Friendly Action Doesn't Always Lead to Another (and What to Do About It),Cindy Frei,ecoAffect,3/24/15,http://ecoaffect.org/2015/03/24/why-one-climate-friendly-action-doesnt-always-lead-to-another-and-what-to-do-about-it/
Published,Solution,Easy,None,Canada and the US,The only thing worse than never having a choice is always having to choose,Oliver Burkeman,The Guardian,3/24/15,http://www.theguardian.com/commentisfree/oliver-burkeman-column/2015/mar/24/never-having-a-choice-always-having-to-choose
Published,Solution,Vivid,"Consumption - Overconsumption, Population - Population Control","Asia, Canada and the US, Central and South America, Europe","Overpopulation, overconsumption - in pictures",None listed,The Guardian,4/1/15,http://www.theguardian.com/global-development-professionals-network/gallery/2015/apr/01/over-population-over-consumption-in-pictures
Published,Solution,Lasting,None,Canada and the US,Habit-Changing Vacations,Laurel Kallenbach,Experience Life,4/1/15,https://experiencelife.com/article/habit-changing-vacations/
Published,Solution,"Associations, Awareness, Relatable",Climate - Belief,Canada and the US,What the climate movement must learn from religion,George Marshall,The Guardian,4/4/15,http://www.theguardian.com/commentisfree/2015/apr/04/climate-change-campaigners-evangelism-religion-activism?CMP=share_btn_tw
Published,Solution,"Hopeful, Ordinary",Consumption - Freshwater,Canada and the US,How to get Californians to use less water - without forcing them to,Chris Mooney,The Washington Post,4/4/15,http://www.washingtonpost.com/news/energy-environment/wp/2015/04/04/how-to-get-californians-to-use-less-water-without-forcing-them-to/?postshare=7791428419899154
Published,Solution,"Benefits, Vivid","Consumption - Energy, Consumption - Freshwater",Canada and the US,"For energy (and water) conservation, moral suasion is no substitute for getting the prices right",Meredith Fowlie,Energy Institute at Haas,4/6/15,https://energyathaas.wordpress.com/2015/04/06/for-energy-and-water-conservation-moral-suasion-is-no-substitute-for-getting-the-prices-right/?utm_campaign=blog%20re%2042&utm_content=13753048&utm_medium=social&utm_source=twitter
Published,Solution,Associations,Climate - Belief,Canada and the US,Simple Messages Increase Understanding of the Climate Change Consensus,"Teresay A. Myers, Edward Maibach, Ellen Peters and Anthony Leiserowitz",Yale Project on Climate Change Communication,4/7/15,http://environment.yale.edu/climate-communication/article/simple-messages-increase-understanding-of-the-climate-change-consensus/
Published,Solution,"Associations, Vivid",Climate - Belief,Canada and the US,"Why Clear, Simple Messages Are the Key to Better Climate Understanding",Cindy Frei,ecoAffect,4/13/15,http://ecoaffect.org/2015/04/13/why-clear-simple-messages-are-the-key-to-better-climate-understanding/
Published,Solution,Relatable,None,"Canada and the US, Europe",From Humbug! To Humble: The Power of the Scrooge Effect,Tom Jacobs,Pacific Standard Magazine,4/13/15,https://psmag.com/from-humbug-to-humble-the-power-of-the-scrooge-effect-18275f5059d1#.naruae2of
Published,Solution,Relatable ,Climate - Take Action,Canada and the US,Why Do You Care About Climate Change? How Making It Personal Can Drive People to Actions,Cindy Frei,ecoAffect,4/17/15,http://ecoaffect.org/2015/04/17/why-do-you-care-about-climate-change-how-making-it-personal-can-drive-people-to-action/
Published,Solution,"Associations, Hopeful",Climate - Belief,Europe,Bypass the hang-ups with the 'preparation frame',Max Leighton,Talking Climate,4/18/15,http://talkingclimate.org/bypass-the-hang-ups-with-the-preparation-frame/
Published,Solution,Easy,Freshwater - Consumption,Central and South America,"Testing the Waters: Using Simple, Low-cost Nudges to Reduce Water Consumption",None Listed ,ideas42,4/20/15,http://www.ideas42.org/blog/testing-waters-using-simple-low-cost-nudges-reduce-water-consumption/
Published,Solution,Lasting,Whole System - Carbon Footprint,Canada and the US,•À_My Earth•À_ energy-tracking app encourages sustainable behaviors,Maija Inveiss and Jill Sakai,University of Wisconsin-Madison News,4/20/15,http://www.news.wisc.edu/23688
Published,Solution,"Associations, Awareness",Energy - Electricity,Europe,New study finds a surprising placebo effect from •À_environmentally friendly•À_ labeling,Chris Mooney,The Washington Post,4/23/15,https://www.washingtonpost.com/news/energy-environment/wp/2015/04/23/this-is-how-green-product-labels-affect-your-brain/?postshare=3861429878728924
Published,Solution,Vivid ,Climate - Take Action,Canada and the US,Why Groups Need to be Ready for Climate Crisis Events Like the Deepwater Spill,Sutton Eaves,ClimateAccess,4/24/15,http://www.climateaccess.org/blog/why-groups-need-be-ready-climate-crisis-events-deepwater-spill
Published,Solution,Ordinary ,Transportation - General,Canada and the US,An Underrated Approach to Cutting Car Commutes: Peer Pressure,Eric Jaffe,City Lab,4/27/15,http://www.citylab.com/commute/2015/04/an-underrated-approach-to-cutting-car-commutes-peer-pressure/391514/?utm_source=SFTwitter
Published,Solution,Associations,Climate - Belief,Canada and the US,College students are making global warming a moral issue. Here•À_s why that scares people,David Roberts,Vox,4/29/15,http://www.vox.com/2015/4/29/8512853/fossil-fuel-divestment
Published,Solution,Associations,Climate - Belief,"Canada and the US, Europe",Pope Francis has given the climate movement just what it needed - faith,Chris Mooney,The Washington Post,4/30/15,http://www.washingtonpost.com/news/energy-environment/wp/2015/04/30/pope-francis-has-given-the-climate-movement-just-what-it-needed-faith/?postshare=4411430764571913
Published,Solution,"Benefits, Relatable, ",Climate - Communication,"Asia, Africa, Canada and the US, Europe",15 ways to powerfully communication climate change solutions,Katherine Purvis,The Guardian,5/5/15,http://www.theguardian.com/global-development-professionals-network/2015/may/05/15-ways-to-powerfully-communicate-climate-change-solutions
Published,Problem,General,Consumption - Freshwater,Canada and the US,Blame Cognitive Biases When Efforts to Conserve Water Aren't Effective,Shankar Vedantam,NPR,5/5/15,http://www.npr.org/2015/05/05/404352534/blame-cognitive-biases-when-efforts-to-conserve-water-aren-t-effective
Published,Solution,"Associations, Relatable",Climate - Communication,Canada and the US,Know Thy Audience,Christa Daniels,ClimateAccess,5/8/15,http://www.climateaccess.org/blog/know-thy-audience
Published,Solution,"Benefits, Easy",Climate - Mitigations,All,3 Steps to Decarbonizing Development for a Zero-Carbon Future,None Listed ,The World Bank,5/11/15,http://www.worldbank.org/en/news/feature/2015/05/11/decarbonizing-development-zero-carbon-future?CID=CCG_TTccgEN_D_EXT
Published,Solution,"Benefits, Relatable",Consumption - Buying,Canada and the US,What's in it for me?,Natasha Perkins,Futerra,5/11/15,http://www.futerra.co.uk/blog/whats-in-it-for-me
Published,Problem,"Cognitive Bias - Loss Aversion, Cognitive Bias - Status Quo Bias",None,Asia,The Economics of Tidying Up,Bourree Lam,The Atlantic,5/13/15,http://www.theatlantic.com/business/archive/2015/05/an-economist-reads-marie-kondo/392921/
Published,Solution,Easy,None,Canada and the US,When Behavioral Science Meets Public Policy,Natalie Punchak,regblog,5/13/15,http://www.regblog.org/2015/05/13/punchak-behavioral-science/
Published,Solution,Awareness,Climate - Communication,Europe,The climate change movement must overcome political tribalism,Dominic Bates,The Guardian,5/15/15,http://www.theguardian.com/environment/2015/may/15/the-climate-change-movement-must-overcome-political-tribalism?CMP=share_btn_tw
Published,Solution,"Easy, Hopeful",Consumption - Energy,Europe,Granlund Host Finland's First Ever Behaviour Change Hackathon: 5 Tips to Reduce Building User Energy Consumption,Ken Dooley,Energista Rakentamista,5/19/15,http://energistarakentamista.com/2015/05/19/granlund-host-finlands-first-ever-behaviour-change-hackathon-5-tips-to-reduce-building-user-energy-consumption/
Published,Solution,Identity,None,Canada and the US,What is the Rule of Commitment?,Kendra Cherry,Very Well,5/19/15,http://psychology.about.com/od/socialinfluence/f/rule-of-commitment.htm
Published,Solution,Lasting,"Waste Management - Recycle/Reuse/Repurpose, Food - Organic/Sustainable, Consumption - Buying, Consumption - General",Canada and the US,"Using Reusable Bags Changes Shopping Habits, Harvard Study Finds",Chris McKinnon,CBS Boston,5/21/15,http://boston.cbslocal.com/2015/05/21/using-reusable-bags-changes-shopping-habits-harvard-study-finds/
Published,Solution,Benefits,Climate - Emissions,Canada and the US,Innovative Black Carbon Certificates Fuel Traditional Cookstove•À_Replacement,David Widger,Marketing Green,5/22/15,https://marketinggreen.wordpress.com/2015/05/22/innovative-black-carbon-certificates-fuel-traditional-cookstove-replacement/
Published,Solution,"Benefits, Easy",Consumption - Buying,Canada and the US,"New Report Offers Advice on Selling Sustainability, But Is it Right?",Raz Godelnik,Triple Pundit,5/22/15,http://www.triplepundit.com/2015/05/new-report-offers-advice-selling-sustainability-right-one/
Published,Solution,Ordinary,Climate - Communication,Canada and the US,Climate Change Debate Fueled by 'Echo Chambers' New Study Finds,Melissa Andreychek,National Socio-Environmental Synthesis Center,5/25/15,http://www.sesync.org/news/climate-change-debate-echo-chambers
Published,Solution,Awareness ,Human Health - Visit Nature,Oceania,"Just looking at nature can help your brain work better, study finds",Chris Mooney,The Washington Post,5/26/15,http://www.washingtonpost.com/news/energy-environment/wp/2015/05/26/viewing-nature-can-help-your-brain-work-better-study-finds/?postshare=5361432832740398
Published,Solution,Benefits,Consumption - Buying,"Canada and the US, Central and South America",Buy Your Way Out Of Your Carbon Footprint With A Credit Card That Saves Trees With Every Purchase,Ben Schiller,Fast Company,5/28/15,http://www.fastcoexist.com/3046029/buy-your-way-out-of-your-carbon-footprint-with-a-credit-card-that-saves-trees-with-every-pur?partner=rss
Published,Solution,Lasting,Consumption - Energy,Africa,Cultivate energy saving habits,Rick Marais,Roodeport Northsider,5/28/15,http://roodepoortnorthsider.co.za/195674/cultivate-energy-saving-habits/
Published,Solution,"Associations, Awareness, Ordinary",Food - Animal Product Consumption,"Canada and the US, Europe","Don't Eat Bugs to Save the World, but Because They're Tasty",•À_Jason G. Goldman,University of Washington Conservation Magazine,5/29/15,http://conservationmagazine.org/2015/05/dont-eat-bugs-to-save-the-world-but-because-theyre-tasty/
Published,Solution,Ordinary,Human Health - Visit Nature,Canada and the US,Rewriting the Story of Arizona's petrified forest,Shaun McKinnon,The Arizona Republic,5/31/15,http://www.azcentral.com/story/news/local/best-reads/2015/05/31/rewriting-story-petrified-national-monument-forest/28143093/
Published,Solution,"Associations, Hopeful, Relatable",Climate - Communication,"Asia, Canada and the US",Karma marketing: can the idea of 'branding like a Buddhist' change corporate mindsets?,Jennifer Kho,The Guardian,6/4/15,http://www.theguardian.com/sustainable-business/2015/jun/04/sufficiency-economy-karma-marketing-branding-business
Published,Solution,Associations,Freshwater - General,Canada and the US,How to Successfully Engage Consumers Around Water Sustainability,Brynn W. McNally,Sustainable Brands,6/4/15,http://www.sustainablebrands.com/news_and_views/marketing_comms/brynn_mcnally/how_successfully_engage_consumers_around_water_sustaina?utm_source=Twitter&utm_medium=schtweets&utm_campaign=social
Published,Solution,"Identity, Ordinary",Climate - Communication,Canada and the US,What do angry birds and mad max have in common? A climate change message,Adam Corner,The Guardian ,6/5/15,http://www.theguardian.com/sustainable-business/2015/jun/05/mad-max-angry-birds-climate-change-message?
Published,Solution,Relatable,Climate - Take Action,Europe,The Tree Huggers Got it Right: The Link Between Compassion and Conservation,Lauren Griffin,frank,6/8/15,http://frank.jou.ufl.edu/frankology/the-tree-huggers-got-it-right-the-link-between-compassion-and-conservation/
Published,Solution,"Hopeful, Identity",Climate - General,Canada and the US,A Psychologist Explains Why People Don't Give a Shit About Climate Change,Bill Kilby,Vice,6/9/15,http://www.vice.com/read/a-psychologist-explains-why-people-dont-really-give-a-shit-about-climate-change-608?utm_source=vicefbus
Published,Solution,"Associations, Benefits, Hopeful, Ordinary",Climate - General,"Canada and the US, Europe",10 things you want to know about human nature if you're fighting climate change,Lisa Bennett,grist,6/10/15,http://grist.org/climate-energy/10-things-you-want-to-know-about-human-nature-if-youre-fighting-climate-change/
Published,Problem,"Cognitive Bias - Confirmation Bias, Cognitive Bias - General",Climate - General,Canada and the US,Apocalypse Neuro: Why Our Brains Don't Process the Gravest Threats to Humanity,Brian Merchant,Motherboard,6/10/15,http://motherboard.vice.com/read/apocalypse-neuro-why-our-brain-cant-process-the-planets-gravest-threats?utm_source=mbtwitter
Published,Solution,"Benefits, Relatable",Climate - Belief,"Canada and the US, Europe",The great climate communication clash,Keri McNamara,Bristol Cabot Institute,6/11/15,http://cabot-institute.blogspot.co.uk/2015/06/the-great-climate-communication-clash.html
Published,Problem,Awareness,None,"Canada and the US, Europe",Learning about these 3 psychological biases could forever change how you go grocery shopping,Chris Weller,Business Insider,6/12/15,http://www.businessinsider.com/subtle-grocery-store-psychological-biases-2015-6?r=UK
Published,Solution,"Associations, Awareness, Benefits, Hopeful, Ordinary, Relatable ",Climate - Communication,Canada and the US,,•À_Lisa Bennett,grist,6/14/15,http://www.vox.com/2015/6/14/8767823/psychology-global-warming
Published,Solution,Easy,Consumption - Energy,Europe,Want to fix the world? Start by making clean energy a default setting,Chris Mooney,The Washington Post,6/15/15,http://www.washingtonpost.com/news/energy-environment/wp/2015/06/15/want-to-fix-the-world-start-by-making-clean-energy-a-default-setting/?postshare=2841434404402218
Published,Problem,Easy ,None,Canada and the US,Less Choice Fatigue at Whole Foods,Elaine Schwartz,econlife,6/15/15,http://www.econlife.com/how-rating-at-whole-foods-simplify-decision-making/
Published,Solution,Relatable,None,Europe,Some Ghoulish Findings About Fear of Death and Charitable Giving,Lauren Griffin,frank,6/15/15,http://frank.jou.ufl.edu/frankology/some-ghoulish-findings-about-fear-of-death-and-charitable-giving/
Published,Solution,Easy,Transportation - Biking,Canada and the US,Boulder 'Right-Sizing' Bike-Lane Project Moves Forward On 3 Of 4 Streets,Erica Meltzer,Boulder News,6/15/15,http://www.dailycamera.com/news/boulder/ci_28320818/right-sizing-debate-hits-boulder-council
Published,Solution,"Associations, Relatable",Climate - Communication,Canada and the US,Want to connect with climate skeptics? Just listen,Peter Byck,GreenBiz,6/17/15,https://www.greenbiz.com/article/want-connect-climate-skeptics-just-listen
Published,Solution,Vivid,Climate - General,All,Google just created a stunning visualization of how the world searches for •À_global warming•À_,Chris Mooney,Washington Post,6/17/15,http://www.washingtonpost.com/news/energy-environment/wp/2015/06/17/google-just-created-a-stunning-visualization-of-how-the-world-searches-for-global-warming/?postshare=8301434557434006
Published,Solution,Easy,Energy - Renewables,Europe,Green Energy is More Popular if it's the Default,Bjorn Carey-Stanford,Futurity,6/18/15,http://www.futurity.org/renewable-energy-plans-944122/
Published,Solution,Associations,Climate - Communication,Canada and the US,The next steps towards a new kind of climate movement,Graham Reeder,Climate Access,6/18/15,http://www.climateaccess.org/blog/next-steps-towards-new-kind-climate-movement
Published,Solution,"Associations, Easy",Climate - Communication,Canada and the US,Handle with humor: why we want you to laugh about climate change,Travis Irvine,The Guardian,6/19/15,http://www.theguardian.com/environment/2015/jun/19/peoples-climate-march-al-gore-leonardo-dicaprio-climate-change
Published,Solution,Easy,Consumption - Energy,Europe,How to nudge consumers to make greener choices,Catherine Jex,ScienceNordic,6/22/15,http://sciencenordic.com/how-nudge-consumers-make-greener-choices
Published,Solution,"Awareness, Relatable",Climate - Communication,Canada and the US,How Do You Get People To Care About Climate Change? Talk About Public Health,Natasha Geiling,Think Progress,6/23/15,http://thinkprogress.org/climate/2015/06/23/3673153/communicating-climate-change-public-health/
Published,Solution,"Associations, Relatable","Climate - Communication, Climate - Emissions",Canada and the US,"Connecting Climate, Health and Opportunity",Cara Pike,Climate Access,6/24/15,http://www.climateaccess.org/blog/connecting-climate-health-and-opportunity
Published,Solution,General,Climate - General,Canada and the US,Advancing the Role of Psychology in Environmental Sustainability,Melissa Andreychek,National Socio-Environmental Synthesis Center,6/25/15,http://www.sesync.org/blog/psychology-environmental-sustainability
Published,Solution,"Awareness, Lasting",None,"Canada and the US, Europe",24 Ways to Stop Making Horrible Decisions (and Start Making Better Ones),Rachel Sugar,Business Insider/ AOL,6/25/15,http://www.businessinsider.com/how-to-make-better-decisions-2015-6
Published,Problem,"Awareness, General",Climate - Communication,Canada and the US,Does shame have a place in the climate fight? Jennifer Jacquet thinks so,Amelia Urry,grist,6/26/15,http://grist.org/people/does-shame-have-a-place-in-the-climate-fight-jennifer-jacquet-thinks-so/?utm_source=twitter&utm_medium=tweet&utm_campaign=socialflow
Published,Solution,"Awareness, Benefits",None,Canada and the US,The Key to Making Smarter Long-term Decisions,None Listed ,Wharton School of the University of Pennsylvania,6/28/15,http://knowledge.wharton.upenn.edu/article/the-key-to-making-smarter-long-term-decisions/
Published,Solution,"Associations, Hopeful, Relatable",Climate - Belief,Canada and the US,How Pain Keeps Us From Acting on Climate Change,Elizabeth Hardee,Triple Pundit,6/29/15,http://www.triplepundit.com/2015/06/pain-keeps-us-acting-climate-change/
Published,Solution,"Relatable, Vivid",Pollution - Air,Asia,Chinese company uses smoke art to warn of air pollution dangers,Vicky Wong,Hong Kong Free Press,6/29/15,http://www.hongkongfp.com/2015/06/29/chinese-company-uses-smoke-art-to-warn-of-air-pollution-dangers/
Published,Solution,"Associations, Relatable",Climate - Communication,Europe,Communicating through shared values,Amy Huva,Climate Access,6/30/15,http://www.climateaccess.org/blog/communicating-through-shared-values
Published,Solution,Awareness ,None,"Canada and the US, Oceania",Can Science Help People Unlearn Their Unconscious Biases?,Adam Hoffman,Smithsonian Online Magazine,7/2/15,http://www.smithsonianmag.com/science-nature/can-science-help-people-unlearn-their-unconscious-biases-180955789/?no-ist
Published,Solution,Awareness,Human Health - Visit Nature,Canada and the US,Nature Walks Improve Mental Health By Helping People Avoid Rumination•À_,Anthony Rivas,MedicalDaily,7/5/15,http://www.medicaldaily.com/nature-walks-improve-mental-health-helping-people-avoid-rumination-341266
Published,Solution,"Associations, Easy, Identity, Relatable",Climate - Communication,Europe,12 Tools for Communicating Climate Change More Effectively,Adam Corner,The Guardian,7/6/15,http://www.theguardian.com/sustainable-business/2015/jul/06/12-tools-for-communicating-climate-change-more-effectively?CMP=share_btn_tw
Published,Solution,Lasting,Climate - Belief,Canada and the US,How Can We Make People Care About Climate Change?,Richard Schiffman,Yale Environment 360,7/9/15,http://e360.yale.edu/feature/how_can_we_make_people_care_about_climate_change/2892/
Published,Solution,"Benefits, Relatable",Climate - Communication,Canada and the US,Multi-Faith Survey Reveals 5 Keys to Communicating on Climate Change,Ryan J. Smith,Blessed Tomorrow,7/9/15,http://blessedtomorrow.org/blog/multi-faith-survey-reveals-5-keys-communicating-climate-change?utm_content=buffer8728c&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer
Published,Solution,Ordinary,Freshwater - Drought,Canada and the US,Mainstreaming water conservation: lessons from energy efficiency,Nicole Lampe,Resource Media,7/15/15,http://www.resource-media.org/mainstreaming-water-conservation-lessons-from-energy-efficiency/#.V090i_krLIU
Published,Solution,Vivid,Oceans - General,Canada and the US,10 Images Show What Coastal Cities Will Look Like After Sea Levels Rise,Taylor Hill,takepart,7/15/15,http://www.takepart.com/article/2015/07/15/what-sea-level-rise-looks-america-coast?cmpid=organic-share-twitter
Published,Solution,Relatable,Climate - Communication,Europe,3 Ways to Improve Your Climate Conversations,Cindy Frei,ecoAffect,7/17/15,http://ecoaffect.org/2015/07/17/3-ways-to-improve-your-climate-conversations/
Published,Solution,Lasting,Climate - Take Action,Canada and the US,Restoration vs. Preservation: The Psychology of Nature Conservation,Marcus Nield,Positive News,7/17/15,https://www.positive.news/2015/perspective/18138/restoration-vs-preservation-psychology-nature-conservation/
Published,Solution,Relatable,"Climate - Emissions, Environmental Policy",Canada and the US,Building local support for carbon rules,Christa Daniels,Climate Access,7/22/15,http://www.climateaccess.org/blog/building-local-support-carbon-rules
Published,Solution,Relatable,Climate - Belief,"Africa, Central and South America, Asia, Canada and the US, Europe, Oceania",What the world thinks of climate change ,David Funkhouser,State of the Planet ,7/27/15,http://blogs.ei.columbia.edu/2015/07/27/what-the-world-thinks-of-climate-change/
Published,Solution,Relatable,Climate - Communication,Canada and the US,Human conversation about climate change,Amy Huva,Climate Access,7/27/15,http://www.climateaccess.org/blog/human-conversations-about-climate-change
Published,Solution,"Benefits, Relatable, Vivid",Climate - Take Action,Canada and the US,Inspire Action Through Smart Energy,Amy Frykman,Climate Access,7/27/15,http://www.climateaccess.org/blog/inspire-action-through-smart-imagery
Published,Solution,Vivid,Consumption - Energy,"Canada and the US, Europe",Nudgespotting: Behavioral Light Switches,Jamie Kimmel,Misbehaving Blog,7/27/15,http://www.misbehavingbook.org/blog/2015/7/27/nudgespotting-behaviorally-informed-light-switches
Published,Problem,Identity ,Climate - Belief,All,Education increases belief in climate change - everywhere except in the U.S. ,Heather Smith,grist,7/29/15,http://grist.org/climate-energy/education-increases-belief-in-climate-change-everywhere-except-in-the-u-s/
Published,Solution,Lasting,"Waste Management - Recycle/Reuse/Repurpose, Consumption - Plastics",Canada and the US,16 simple ways to reduce plastic waste,"Moss, L.",Mother Nature Network,7/29/15,http://www.mnn.com/lifestyle/responsible-living/stories/16-simple-ways-reduce-plastic-waste
Published,Solution,"Relatable, Vivid",Oceans - General,Canada and the US,Here. Now. Us. actualizes climate change for Marin County,Quinn Sanderson,Resource Media,7/30/15,http://www.resource-media.org/here-now-us-actualizes-climate-change-for-marin-county/#.V09gBvkrLIU
Published,Solution,Lasting,Consumption - Autos,Canada and the US,The prestige of buying green: The Prius case,Rodrigo Flores,Yale environment review•À_,8/3/15,https://environment.yale.edu/yer/article/prestige-and-green-purchases-the-prius-case#gsc.tab=0
Published,Solution,Lasting,None,Canada and the US,Vacation Habits Lead to Sustainable Happiness Year-Round,Emily Cassel,Huffington Post,8/4/15,http://www.huffingtonpost.com/emily-cassel/vacation-habits-lead-to-sustainable-happiness-year-round_b_7929984.html
Published,Solution,Relatable,Climate - Take Action,Canada and the US,How Obama's getting Americans to care about climate change,Nick Stockton,Wired ,8/5/15,http://www.wired.com/2015/08/obamas-getting-americans-care-climate-change/
Published,Solution,"Benefits, Relatable, Vivid",Consumption - Energy,Canada and the US,Energy Efficiency: Can policy makers make turn-offs a turn on?,Katherine Ling,Environment & Energy Publishing,8/7/15,http://www.eenews.net/stories/1060022688
Published,Solution,Associations,Climate - Communication,Canada and the US,The Daily Show' and 'The Colbert Report' May Be Why So Many More People Believe in Climate Change,Kristin Magaldi,Medical Daily,8/8/15,http://www.medicaldaily.com/daily-show-and-colbert-report-may-be-why-so-many-more-people-believe-climate-change-346796
