Website?,Behavioral Problem,BUILDING BLOCK,Substep,Environmental Tag,Environmental Sub-Tag,World Region,Title,Author,News Source,Date,Summary,URL,Notes,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - Communication,,Canada and the US,The term that actually makes climate change less political,Puneet Kollipara,The Washington Post,18-Feb-15,"A growing body of evidence suggests that the general public would rather hear about solutions to climate change than debate the science. Recent work from the Annals of the American Academy of Political and Social Science shows that discussing geoengineering as a potential method of combating global warming actually moves people on both sides of the political debate closer to the center; New�research�shows that people's willingness to accept climate�science�depends on which�solutions�to global warming they are presented with. Those who were exposed to�solutions�involving geoengineering viewed climate change as a higher risk than those who heard�solutions�regarding limiting air pollution. Those exposed to the geoengineering�solution�also moved towards the center in terms of how much faith they put in climate�science, while those in the anti-pollution group became more polarized.�",http://www.washingtonpost.com/news/energy-environment/wp/2015/02/18/the-term-that-actually-makes-climate-change-less-political/?postshare=761424787135937,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - Communication,,Canada and the US,Want everyone else to buy into environmentalism? Never say �Earth�,Heather Smith,Grist,12-Mar-14,Associations; Marketing Environmentalism; Effective communication,http://grist.org/climate-energy/want-everyone-else-to-buy-into-environmentalism-never-say-earth/,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - Communication,,Canada and the US,Why it's good to laugh at climate change,Adam Corner,The Guardian,20-Jan-15,Communicating science through humor-- tool for Associations?,http://www.theguardian.com/environment/2015/jan/20/why-its-good-to-laugh-at-climate-change,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - Communication,,Canada and the US,THE NEXT STEPS TOWARDS A NEW KIND OF CLIMATE MOVEMENT,Graham Reeder,Climate Access,18-Jun-15,,http://www.climateaccess.org/blog/next-steps-towards-new-kind-climate-movement,,,,,,,,,,,,,
Yes,Solution,"Associations, Benefits, Hopeful, Relatable",,Climate - Communication,,Canada and the US,7 Ways to Talk About Climate Impacts with Just About Anyone,Cara Pike,ClimateAccess,23-Mar-15,communication,http://www.climateaccess.org/blog/7-ways-talk-about-climate-impacts-just-about-anyone-yes-even-republicans,,,,,,,,,,,,,
Yes,Solution,"Associations, Easy, Identity, Relatable",,Climate - Communication,,Europe,12 Tools for Communicating Climate Change More Effectively,Adam Corner,The Guardian,6-Jul-15,"This article brings up the complicated and ineffective way that scientists may communicate climate change. So, the�Climate Outreach and Information Network (COIN)��released a new�Uncertainty Handbook�to combat this problem and to provide scientists, policymakers, etc. with the tools they need to more effectively communicate climate change. The article provides some key points from the handbook.",http://www.theguardian.com/sustainable-business/2015/jul/06/12-tools-for-communicating-climate-change-more-effectively?CMP=share_btn_tw,,,,,,,,,,,,,
Yes,Solution,"Associations, Hopeful, Relatable",,Climate - Communication,,"Asia, Canada and the US",Karma marketing: can the idea of 'branding like a Buddhist' change corporate mindsets?,Jennifer Kho,The Guardian,4-Jun-15,"Changing corporate culture from a position of ""more,"" which breeds greed and negativity, to a culture of ""enough"" ",http://www.theguardian.com/sustainable-business/2015/jun/04/sufficiency-economy-karma-marketing-branding-business,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - Communication,,Canada and the US,The words we use matter in climate change adaptation,Amy Freitag,Southern Fried Science,17-Jan-15,Communication,http://www.southernfriedscience.com/?p=18074,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - Communication,,Canada and the US,Know Thy Audience,Christa Daniels,ClimateAccess,8-May-15,Communication,http://www.climateaccess.org/blog/know-thy-audience,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - Communication,,Canada and the US,Meet the New Spokespeople for Climate Change: Politicians,"Robert Brulle, Jason Carmichael and J. Craig Jenkins",frank,11-Aug-14,"Because comments from U.S. political leaders have *more sway* over what the public believes, communications strategy aimed at winning minds in the climate change battle �must be linked to a broader political strategy.� ",http://frank.jou.ufl.edu/frankology/meet-the-new-spokespeople-for-climate-change-politicians/,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - Communication,,Europe,COMMUNICATING THROUGH SHARED VALUES,Amy Huva,Climate Access,30-Jun-15,"communication-- According to the toolkit, values-based communication needs to:Emphasize intrinsic values (or internally motivating values) like connection to people, land, justice or equality.Avoid extrinsic values (or externally motivating values) like social status, wealth or power.Creatively engage intrinsic values in ways that may not be obvious and help bridge climate change with other issues, such as health or social justice.",http://www.climateaccess.org/blog/communicating-through-shared-values,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable, Vivid",,Climate - Communication,,Europe,Image Problem: are we using the wrong photographs to illustrate migration and climate change?,Alex Randall,UK Climate Change & Migration Coalition,14-Jan-15,Communication-- which types of photos to use to represent large scale problems like climate change ,http://climatemigration.org.uk/image-problem-are-we-using-the-wrong-photographs-to-illustrate-migration-and-climate-change/,,,,,,,,,,,,,
Yes,Solution,"Associations, Vivid",,Climate - Communication,,Canada and the US,"The Climate Movement Needs Rebranding, But These Milton Glaser Buttons Won't Do It",Adele Peters,Fast CoExist,8-Aug-14,Communication,http://www.fastcoexist.com/3034104/the-climate-movement-needs-rebranding-but-these-milton-glazer-buttons-wont-do-it,,,,,,,,,,,,,
Yes,Solution,Awareness,,Climate - Communication,,Europe,The climate change movement must overcome political tribalism,Dominic Bates,The Guardian,15-May-15,Communication,http://www.theguardian.com/environment/2015/may/15/the-climate-change-movement-must-overcome-political-tribalism?CMP=share_btn_tw,,,,,,,,,,,,,
Yes,Solution,"Awareness, Relatable",,Climate - Communication,,Canada and the US,How Do You Get People To Care About Climate Change? Talk About Public Health,natasha geiling,Think Progress,23-Jun-15,communication; Associations,http://thinkprogress.org/climate/2015/06/23/3673153/communicating-climate-change-public-health/,,,,,,,,,,,,,
Yes,Solution,"Benefits, Ordinary, Relatable",Ordinary - Strengthen the norm through social networks,Climate - Communication,,Canada and the US,Transforming the Climate Conversation Through Social�Video,N/A,Marketing Green,5-Jun-14,,https://marketinggreen.wordpress.com/2015/05/22/transforming-the-climate-conversation-through-social-video/,,,,,,,,,,,,,
Yes,Solution,"Benefits, Relatable, ",,Climate - Communication,,"Asia, Africa, Canada and the US, Europe",15 ways to powerfully communication climate change solutions,Katherine Purvis,The Guardian,5-May-15,Communication,http://www.theguardian.com/global-development-professionals-network/2015/may/05/15-ways-to-powerfully-communicate-climate-change-solutions,,,,,,,,,,,,,
Yes,Solution,"Benefits, Relatable, ",,Climate - Communication,,N/A,Multi-Faith Survey Reveals 5 Keys to Communicating on Climate Change,Ryan J. Smith,Blessed Tomorrow,9-Jul-15,"This past May, Blessed Tomorrow encouraged you to participate in a joint effort between COIN (Climate Outreach and Information Network) and Our Voice, to survey what climate messaging strategies work best in the 5 largest faith traditions: Buddhist, Christian, Hindu, Jewish and Muslim. While tradition specific findings are displayed, the survey provides 5 overall takeaways for communicating climate change to a sundry of religious communities. ",http://blessedtomorrow.org/blog/multi-faith-survey-reveals-5-keys-communicating-climate-change?utm_content=buffer8728c&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,,,,,,,,,,,,,
Yes,Solution,"General, Hopeful",,Climate - Communication,,"Canada and the US, Europe",Three Ways to build deep public support on climate change,Adam Corner,The Guardian,18-Sep-14,,http://www.theguardian.com/sustainable-business/2014/sep/18/build-support-climate-change-campaign,time sensitive,,,,,,,,,,,,
Yes,Solution,Hopeful,,Climate - Communication,,Canada and the US,How Not to Teach Climate Change,Tania Lombrozo,NPR,15-Sep-14,"If you want to promote green behavior, inducing fear and touting science isn't the way to go.; communication",http://www.npr.org/blogs/13.7/2014/09/15/348629576/how-not-to-teach-climate-change?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=20140915,,,,,,,,,,,,,
Yes,Solution,Ordinary,Ordinary - Strengthen the norm through social networks,Climate - Communication,,Canada and the US,Climate Change Debate Fueled by 'Echo Chambers' New Study Finds,Melissa Andreychek,National Socio-Environmental Synthesis Center,25-May-15,"Looking at how ""echo chambers"" and climate change information",http://www.sesync.org/news/climate-change-debate-echo-chambers,,,,,,,,,,,,,
Yes,Solution,"Ordinary, Vivid",Ordinary - Model the desired behavior,Climate - Communication,,Canada and the US,"Nature is Speaking Through Harrison Ford, Julia Roberts, and Kevin Spacey, and She is Pissed",Jeff Beer,Fast Cocreate,6-Oct-14,"We have posted the whole series of these vignettes BUT WE WONDER -- Does the overall message ('The planet, as abused as it's been, will be fine in the long run. It's humans who need saving.') INSPIRE YOU?; communication",http://www.fastcocreate.com/3036634/nature-is-speaking-through-harrison-ford-julia-roberts-and-kevin-spacey-and-she-is-pissed,,,,,,,,,,,,,
Yes,Solution,Relatable,,Climate - Communication,,Canada and the US,What the Environmental Community Has Is a 'Failure to Communicate',Miroslava Korenha,Huffington Post,17-Feb-15,Communication; environmental issues need to be more Vivid,http://www.huffingtonpost.com/miroslava-korenha/what-the-environmental-co_b_6350424.html,,,,,,,,,,,,,
Yes,Solution,Relatable,,Climate - Communication,,"Canada and the US, Europe",Science Won't Win Over the Climate Change Sceptics - We Need Stories,Adam Corner,The Guardian,2-Dec-14,"Recent evidence shows that young people are not interested in debating the validity of climate�science, they are more interested in finding�solutions. The general public can become interested in environmental campaigns and tackling climate changes when�solutions�are presented in an interesting, engaging way that do not challenge people's deep personal beliefs; Associations and audience engagement",http://www.theguardian.com/sustainable-business/behavioural-insights/2014/dec/02/science-wont-win-over-sceptics-climate-change,,,,,,,,,,,,,
Yes,Solution,Relatable,,Climate - Communication,,"Canada and the US, Europe",Personal climate stories,Adam,Talking Climate,5-Mar-15,,http://talkingclimate.org/personal-climate-stories/,,,,,,,,,,,,,
Yes,Solution,Relatable,,Climate - Communication,,Europe,3 Ways to Improve Your Climate Conversations,Cindy Frei,EcoAffect,17-Jul-15,"This post summarizes Malachi Chadwick's post Why Your Climate Conversations Always Go Wrong, and How to Make Them Better. The main goal for climate communicators is to get other people to care about the issue as much as they do. However, this is often a challenging task and Chadwick discusses some of the reasons as to why that is. So, Chadwick discusses 3 main points that suggest that communicators should adopt the role of moderator rather than trying to directly convince people.",http://ecoaffect.org/2015/07/17/3-ways-to-improve-your-climate-conversations/,,,,,,,,,,,,,
Yes,Solution,Vivid,,Climate - Communication,,Canada and the US,"Virtual Reality Could Help Teach Sustainable Habits, Change Long Term Behavior",Sami Grover,The Huffington Post,26-Aug-14,,http://www.huffingtonpost.com/2014/08/26/virtual-reality-sustainable-habits_n_5717647.html,,,,,,,,,,,,,
Yes,Solution,"Associations, Awareness",,Climate - General,,Canada and the US,Can Empathy Help Stop Climate Change?,Lisa Bennett,Greater Good Berkeley,17-Apr-14,The correlation between empathy and�climate change efforts.�,http://greatergood.berkeley.edu/article/item/can_empathy_stop_climate_change,,,,,,,,,,,,,
Yes,Solution,Relatable ,,"Climate - Belief, Natural Disasters",,Canada and the US,Extreme weather can be a teaching moment to change opinions about future climate risks ,Niina Heikkinen,ClimateWire,6-Feb-15,"Research shows that most people view climate change through the lens of their personal experience dealing with extreme weather events. This implies that climate communicators should stress the connection between the warming atmosphere and increased frequency of extreme weather; Availability Heuristic, Communications; people who have been impacted by extreme weather are the best climate students",http://www.eenews.net/climatewire/2015/02/06/stories/1060013001,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,"Climate - Communication, Climate - Emissions",,Canada and the US,"CONNECTING CLIMATE, HEALTH AND OPPORTUNITY",Cara Pike,Climate Access,24-Jun-15,communication,http://www.climateaccess.org/blog/connecting-climate-health-and-opportunity,,,,,,,,,,,,,
Yes,Solution,Benefits,,Climate - Emissions,,Canada and the US,Innovative Black Carbon Certificates Fuel Traditional Cookstove�Replacement,David Widger,Marketing Green,22-May-15,Benefits of black carbon certificate ,https://marketinggreen.wordpress.com/2015/05/22/innovative-black-carbon-certificates-fuel-traditional-cookstove-replacement/,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - General,,Canada and the US,"Heat Wave Psychology: Long Past, Green Future?",Wray Herbert,The Huffington Post,24-Jul-13,"Does living in a nation with deep historical roots allow for a longer view of the future, and therefore self-sacrifice for the sake of the environment? And if primed to think of ones nation as mature and enduring -- do we treat the environmental more responsibly?",http://www.huffingtonpost.com/wray-herbert/heat-wave-psychology-long_b_3644823.html�,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - General,,Canada and the US,Valuing the Science of Climate Science,frameworksinstitute,Frameworks Institute,7-Jan-15,worldviews and communicating climate science; scientific communication,http://frameblog.org/2015/01/07/valuing-the-science-of-climate-change/,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - General,,Canada and the US,Verbal Warming: Labels in the Climate Debate,Justin Gillis,The New York Times,12-Feb-15,,http://www.nytimes.com/2015/02/17/science/earth/in-climate-change-whats-in-a-name.html?action=click&pgtype=Homepage&module=c-column-middle-span-region&region=c-column-middle-span-region&WT.nav=c-column-middle-span-region,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - General,,Canada and the US,"Why Environmental Understanding, or ""Associations,"" Matters: An Evaluation of the EcoAmerica Summary Report",George Lakoff,The Huffington Post,25-May-11,"Summarizes the findings of the EcoAmerica Associations report, some arguments others have made against it, explains Associations and why it is important for the environment",http://www.huffingtonpost.com/george-lakoff/why-environmental-underst_b_205477.html,,,,,,,,,,,,,
Yes,Solution,Awareness ,,Climate - General,,Canada and the US,The Nature of Humans,Rod Fujita and Nya Van Leuvan,The Huffington Post,20-Aug-14,"It's safe to say that most conservationists know a lot more about why fish, birds and plants do the things they do, than about human behavior. But it is human behavior that now shapes the destiny of life on earth.",http://www.huffingtonpost.com/rod-fujita/the-nature-of-humans_b_5695242.html,,,,,,,,,,,,,
Yes,Problem,"Confirmation Bias, General",,Climate - General,,Canada and the US,Apocalypse Neuro: Why Our Brains Don't Process the Gravest Threats to Humanity,Brian Merchant,Motherboard,10-Jun-15,,http://motherboard.vice.com/read/apocalypse-neuro-why-our-brain-cant-process-the-planets-gravest-threats?utm_source=mbtwitter,"review of the book ""Don't Even Think About it: Why Our Brains are Wired to Ignore Climate Change"" by George Marshall",,,,,,,,,,,,
Yes,Solution,"Hopeful, Identity",,Climate - General,,Canada and the US,A Psychologist Explains Why People Don't Give a Shit About Climate Change,Bill Kilby,Vice,9-Jun-15,,http://www.vice.com/read/a-psychologist-explains-why-people-dont-really-give-a-shit-about-climate-change-608?utm_source=vicefbus,,,,,,,,,,,,,
Yes,Problem,Optimism bias,,Climate - General,,Canada and the US,"80 Percent of Humans are delusionally optimistic, says science",Christopher Mims,grist,10-Apr-12,optimism bias,http://grist.org/list/80-percent-of-humans-are-delusionally-optimistic-says-science/,for optimism bias dose,,,,,,,,,,,,
Yes,Solution,"Associations, Benefits, Hopeful, Identity",,Climate - General Action,,Canada and the US,The Hot New Frontier of Energy Research Is Human Behavior,Brandon Keim,Wired,9-Jun-14,"Energy engineers and social scientists are putting their heads together to come up with innovative solutions and push the boundaries of energy conservation research. This collaboration comes at an opportune time--says Ed Vine of Lawrence Berkeley National Laboratory, ""In order to achieve our energy-saving goals, it can't just be technology by itself.""",http://www.wired.com/2014/06/energy-and-human-behavior/,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - General Action,,Canada and the US,Scope Insensitivity,Eliezer Yudkowsky,Less Wrong,14-May-07,Article on scope insensitivity ,http://lesswrong.com/lw/hw/scope_insensitivity/,,,,,,,,,,,,,
Yes,Solution,"Awareness, Relatable",,Climate - General Action,,Canada and the US,The 7 psychological reasons that are stopping us from acting on climate change,Chris Mooney,The Washington Post,11-Dec-14,Behavior; Behavioral Science Principles,https://www.washingtonpost.com/news/wonk/wp/2014/12/11/the-7-psychological-reasons-that-are-stopping-us-from-acting-on-climate-change/,discusses the CRED report,,,,,,,,,,,,
Yes,Solution,Benefits,,Climate - General Action,,Canada and the US,"Could ""Green Nudges"" Be Enough to Push Us in a Better Direction?",Tom Szaky,treehugger,28-Feb-12,Nudging,http://www.treehugger.com/corporate-responsibility/could-green-nudges-be-enough-push-us-better-direction.html,,,,,,,,,,,,,
Yes,Solution,"Benefits, Relatable, Vivid",,Climate - General Action,,Canada and the US,Inspire Action Through Smart Energy,Amy Frykman,Climate Access,27-Jul-15,Using imagery to get people excited about energy efficiency,http://www.climateaccess.org/blog/inspire-action-through-smart-imagery,check out the associated report ,,,,,,,,,,,,
Yes,Solution,Easy,,Climate - General Action,,"Africa, Canada and the US, Europe","Road to Sustainability: More Nudging, less shoving",Paul Ferraro,SNAP,27-Jan-14,Bried overview of nudging for conservation; Decision Science,http://www.snap.is/magazine/paul-ferraro-sustainability-nudges-conservation/,SNAP has replaced NCEAS; this is an article; they host workshops,,,,,,,,,,,,
Yes,Solution,Hopeful,,Climate - General Action,,Canada and the US,Restoration vs. Preservation: The Psychology of Nature Conservation,Marcus Nield,Positive News,17-Jul-15,"The growth of ecological restoration in the past few months provides a welcome cause for optimism among often overly-pessimistic conservationist messages. This article is about the ineffectiveness of scare tactic messages. Environmental psychologists talk about how the fear sprung from apocalyptic messages from conservationists leads to hopelessness and inaction. However, they claim that we can mobilize sustainable behavior by Associations climate action in an optimistic and tangible manner. People's relationship with nature should be discussed in a hopeful, prideful, and optimistic manner.",https://www.positive.news/2015/perspective/18138/restoration-vs-preservation-psychology-nature-conservation/,,,,,,,,,,,,,
Yes,Problem,Moral licensing,,Climate - General Action,,Canada and the US,Why One Climate-Friendly Action Doesn't Always Lead to Another (and What to Do About It),Cindy Frei,ecoAffect,24-Mar-15,,http://ecoaffect.org/2015/03/24/why-one-climate-friendly-action-doesnt-always-lead-to-another-and-what-to-do-about-it/,,,,,,,,,,,,,
Yes,Problem,Moral licensing,,Climate - General Action,,Canada and the US,Why going green won't make you better or save you money,Michael S. Rosenwald,The Washington Post,18-Jul-10,cognitive bias; moral licensing,http://www.washingtonpost.com/wp-dyn/content/article/2010/07/16/AR2010071606839.html,Found through self-licensing Wiki page,,,,,,,,,,,,
Yes,Problem,Moral licensing,,Climate - General Action,,"Canada and the US, Europe",The bizarre way that we justify actions that waste energy and are bad for the environment,Chris Mooney,The Washington Post,20-Mar-15,"Decision Science; moral licensing; ""compensatory green beliefs"", cognitive dissonance, social norms, consistency",http://www.washingtonpost.com/news/energy-environment/wp/2015/03/20/the-bizarre-way-that-we-justify-actions-that-waste-energy-and-are-bad-for-the-environment/?postshare=1531426944649616,,,,,,,,,,,,,
Yes,Solution,Ordinary,Ordinary - Strengthen the norm through social networks,Climate - General Action,,Canada and the US,Want to Save the Planet? Neighbors Make Better Allies than Family,Basil D. N. Waugh,The University of Vermont,10-Feb-15,"If you're looking to make the world a little greener, the best place to start might be with your neighbors. Recent research out of the University of Vermont shows that neighbors can be a valuable source of information about sustainable behavior--and can help give the rest of their community a push in the right direction; social norms",http://www.uvm.edu/~uvmpr/?Page=news&storyID=20208&category=ucommfeatureb,,,,,,,,,,,,,
Yes,Solution,Ordinary,,Climate - General Action,,Canada and the US,"Is Shame Necessary? New Uses for an Old Tool by Jennifer Jacquet, review: 'daring but lopsided'",Robert Douglas-Fairhurst,The Telegraph,2-Feb-15,"A review of environmental and social�scientist's Jennifer Jacquet's book�Is Shame Necessary?�In the book, Jacquet contends that appealing to individual behavior is not enough--an effective environmental behavior campaign should shame corporations for their unenvironmental and unethical behaviors. She argues that this will lead to a larger-scale change in environmental behavior, but Douglas-Fairhurst doubts that effectively shaming international corporations is feasible.�",http://www.telegraph.co.uk/culture/books/bookreviews/11376490/Is-Shame-Necessary-New-Uses-for-an-Old-Tool-by-Jennifer-Jacquet.html,,,,,,,,,,,,,
Yes,Solution,Relatable ,,Climate - General Action,,Canada and the US,Why Do You Care About Climate Change? How Making It Personal Can Drive People to Actions,Cindy Frei,ecoAffect,17-Apr-15,behavior + communication,http://ecoaffect.org/2015/04/17/why-do-you-care-about-climate-change-how-making-it-personal-can-drive-people-to-action/,,,,,,,,,,,,,
Yes,Solution,"Ordinary, Vivid ","Ordinary - Make the encouraged behavior obvious, Provide positive social proof","Climate - General Action, Human Health - How people cook/eat",,Canada and the US,Nudging environmental behavior,Michael Levy�,Center for Environmental Policy and Behavior-UC Davis,13-Sep-13,Decision Science; nudging,http://environmentalpolicy.ucdavis.edu/node/291,,,,,,,,,,,,,
Yes,Solution,"Benefits, Easy",,Climate - Mitigations,"efficiencies, behavior",N/A,3 Steps to Decarbonizing Development for a Zero-Carbon Future,N/A,The World Bank,11-May-15,Showcases 3 steps to helping create a zero-carbon future.,http://www.worldbank.org/en/news/feature/2015/05/11/decarbonizing-development-zero-carbon-future?CID=CCG_TTccgEN_D_EXT,,,,,,,,,,,,,
Yes,Solution,Awareness,,Climate - Belief,,Canada and the US,"The truth is out there, so how do you debunk a myth?",John Cook,The Conversation,5-Feb-14,cognitive bias,http://theconversation.com/the-truth-is-out-there-so-how-do-you-debunk-a-myth-22641,Studies by Skeptical Science,,,,,,,,,,,,
Yes,Solution,Benefits,,Consumption - Buying,,"Central and South America, Canada and the US",Buy Your Way Out Of Your Carbon Footprint With A Credit Card That Saves Trees With Every Purchase,Ben Schiller,Fast Company,28-May-15,Offsetting carbon immissions through a green credit card-- planting trees-- incentive: reduced guilt ,http://www.fastcoexist.com/3046029/buy-your-way-out-of-your-carbon-footprint-with-a-credit-card-that-saves-trees-with-every-pur?partner=rss,,,,,,,,,,,,,
Yes,Problem,Moral licensing,,Consumption - Buying,,Canada and the US,Green and Mean: Eco-Shopping Has a Side effect,Emily Anthes,The Scientific American Magazine,1-Sep-10,cognitive bias,http://www.scientificamerican.com/article/green-and-mean/,Found through self-licensing Wiki page,,,,,,,,,,,,
Yes,Solution,"Associations, Benefits, Identity, Relatable",,Consumption - Buying,,Europe,How to Grow Consumer Attachment to Green�Brands,,Marketing Green,10-May-12,Green marketing techniques ,https://marketinggreen.wordpress.com/2012/05/10/how-to-grow-consumer-attachment-to-green-brands/,,,,,,,,,,,,,
Yes,Solution,"Benefits, Easy",,Consumption - Buying,,Canada and the US,"New Report Offers Advice on Selling Sustainability, But Is it Right?",Raz Godelnik,Triple Pundit,22-May-15,,http://www.triplepundit.com/2015/05/new-report-offers-advice-selling-sustainability-right-one/,,,,,,,,,,,,,
Yes,Solution,"Benefits, Relatable",,Consumption - Buying,,Canada and the US,What's in it for me?,Natasha Perkins,Futerra,11-May-15,Consumption and Waste,http://www.futerra.co.uk/blog/whats-in-it-for-me,,,,,,,,,,,,,
Yes,Solution,Easy,,Consumption - Buying,,Canada and the US,New OpenLabel app offers product information for eco-minded consumers,Timothy Pratt,The Guardian,10-Feb-15,,http://www.theguardian.com/sustainable-business/2015/feb/10/openlabel-app-consumer-information-google-facebook,,,,,,,,,,,,,
Yes,Solution,Vivid,,Consumption - Buying,,Central and South America,New Packaging Tells You How to Reuse it Creatively,Jennifer Hattam,treehugger,5-Oct-11,,http://www.treehugger.com/sustainable-product-design/new-packaging-tells-you-how-to-reuse-it-creatively.html,,,,,,,,,,,,,
Yes,Solution,Benefits,,Consumption - Energy,,"Africa, Central and South America, Asia",Greening Building Design with the Click of a Mouse,N/A,The World Bank,2-Oct-14,A new online tool created by the IFC is helping developers and homeowners find the most efficient ways to reduce a building�s energy and water use and lower its greenhouse gas emissions,http://www.worldbank.org/en/news/feature/2014/10/01/greening-building-design-click-mouse?hootPostID=55b303f41aa136b30435ec6855926143,,,,,,,,,,,,,
Yes,Solution,Benefits,,Consumption - Energy,,Canada and the US,What Behavioral Science Has to Say About Energy Conservation,Hunt�Allcott,Resources for the Future: Policy commentary series,9-Apr-10,"Energy efficiency depends not only on the availability of energy efficient technologies, but also whether people adopt them and how they are used. New research shows that energy conservation programs motivated by behavioral science are relatively cost effective. ""Such analysis shows that OPOWER�s reports prompt households to reduce energy use by about two percent, depending on the program�s location, frequency, and duration.""",http://www.rff.org/Publications/WPC/Pages/What-Behavioral-Science-Has-to-Say-About-Energy-Conservation.aspx,,,,,,,,,,,,,
Yes,Solution,"Benefits, Hopeful, Ordinary","Hopeful - Feedback, Ordinary - Model the desired behavior",Consumption - Energy,,Canada and the US,"Cambridge-Isanti Public SchoolsCambridge-Isanti Schools Save More Than $2.6 Million with SEE",,Class 5 Energy,,Cambridge-Isanti Public Schools has reduced energy use by 36% and avoided more than cambridge isanti profile$2.6 million in energy costs since joining the SEE program in 2004. The district has set a 40% energy reduction as their next milestone.,http://www.class5energy.com/cambridge-isanti-public-schools-2/,,,,,,,,,,,,,
Yes,Solution,"Benefits, Hopeful, Ordinary","Hopeful - Feedback, Ordinary - Model the desired behavior",Consumption - Energy,,Canada and the US,Class 5 Energy,N/A,Tools of Change,N/A,"This comprehensive, long-term approach combines education, training, behavior change and goal setting with progress tracking, recognition and continuous improvement to reduce energy use in schools, hospitals and other institutional settings.",http://www.toolsofchange.com/en/case-studies/detail/674,,,,,,,,,,,,,
Yes,Solution,"Benefits, Ordinary",Ordinary - Comparison,Consumption - Energy,,Canada and the US,Money Versus Morals: Why Economic Rewards Trump Polite Messaging in Efficiency,Stephen Lacey,The Energy Collective,6-Feb-15,"A recent study from Japan shows that moral-based messaging--polite reminders about the importance of saving energy--may promote energy savings in the short term. But to get long-term results, helping people save money by altering their energy usage may be more effective; behavior",http://theenergycollective.com/stephenlacey/2189811/money-versus-morals-why-economic-rewards-trump-polite-messaging-efficiency,,,,,,,,,,,,,
Yes,Solution,Easy,Easy - Default,Consumption - Energy,,Europe,How to nudge consumers to make greener choices,Catherine Jex,ScienceNordic,22-Jun-15,Customers can be nudged to choose environmentall friendly alternatives when shopping online; Decision Science; nudging,http://sciencenordic.com/how-nudge-consumers-make-greener-choices,,,,,,,,,,,,,
Yes,Solution,Easy,Hopeful - Feedback,Consumption - Energy,,Europe,Nuding Can Save Europe Billions of Euros on Energy Bills,Alex Morales,Bloomberg,29-Aug-14,,http://www.bloomberg.com/news/2014-08-29/nudging-can-save-europe-billions-of-euros-on-energy-bills.html,,,,,,,,,,,,,
Yes,Solution,Easy,,Consumption - Energy,,Europe,Pilot project enables climate-smart lifestyle,Redaktionen,Vattenfall,14-May-11(?),Link to the overview of the project that led to the creation fo opower?; prompts,http://onetonnelife.com/,Webpage,,,,,,,,,,,,
Yes,Solution,Easy,,Consumption - Energy,,Europe,Want to fix the world? Start by making clean energy a default setting,Chris Mooney,The Washington Post,15-Jun-15,Decision Science; nudging,http://www.washingtonpost.com/news/energy-environment/wp/2015/06/15/want-to-fix-the-world-start-by-making-clean-energy-a-default-setting/?postshare=2841434404402218,,,,,,,,,,,,,
Yes,Solution,"Easy, Hopeful",Hopeful - Feedback,Consumption - Energy,,Canada and the US,Sustainable: Reducing energy use through behavioral science,�Frank Jossi,Finance & Commerce,1-Sep-14,,http://finance-commerce.com/2014/09/sustainable-reducing-energy-use-through-behavioral-science/,,,,,,,,,,,,,
Yes,Solution,"Easy, Hopeful",Hopeful - Feedback,Consumption - Energy,,Europe,Granlund Host Finland's First Ever Behaviour Change Hackathon: 5 Tips to Reduce Building User Energy Consumption,Ken Dooley,Energista Rakentamista,19-May-15,behavior based energy strategies ,http://energistarakentamista.com/2015/05/19/granlund-host-finlands-first-ever-behaviour-change-hackathon-5-tips-to-reduce-building-user-energy-consumption/,,,,,,,,,,,,,
Yes,Solution,"Easy, Relatable",,Consumption - Energy,,Europe,Eco laundry habits are about more than sustainable washing machines,Luke Yates and David Evans,The Guardian,9-Oct-14,,http://www.theguardian.com/sustainable-business/behavioural-insights/2014/oct/09/eco-laundry-sustainable-washing-machines,,,,,,,,,,,,,
Yes,Solution,Hopeful,Hopeful - Feedback,Consumption - Energy,,"Asia, Canada and the US",A technology pioneered by electric utilities could help American drivers use 13% less energy. Here's how,Aaron Tinjum,Opower,9-Jan-15,Decision Science,http://blog.opower.com/2015/01/us-drivers-13-less-energy/,,,,,,,,,,,,,
